input,state,target,rf_prediction,ridge_prediction
5.868767843510225291e-02,2.981725029133863725e-01,4.210246646665408710e-01,3.561738234389386082e-01,3.954494966724820815e-01
2.418794756722796313e-01,3.268254754328453471e-01,3.126251731528059130e-01,3.359863503942321361e-01,3.912495072072330049e-01
4.445849627566813012e-01,5.094712007346094973e-01,4.185676317577680106e-01,3.388892707065964127e-01,3.830509933556974222e-01
3.005567087191707287e-02,2.864940401803367509e-01,4.432591545820535606e-01,4.362670128774385758e-01,3.974099358729698550e-01
1.564158627542419078e-01,2.979688087959494469e-01,3.233963087804599401e-01,3.516904633062160612e-01,3.954824481269234582e-01
2.289260226920991625e-01,3.946556165393368953e-01,2.687964875411235077e-01,3.719029309122393046e-01,3.846443321525447878e-01
3.954118456017330363e-01,4.751826909660626930e-01,2.306998954094438559e-01,3.484736837081643945e-01,3.823942108032774012e-01
2.681855863271386808e-01,4.273824714075340481e-01,4.546305826522886173e-01,3.610876319109566079e-01,3.830426922290253722e-01
3.599772610050721022e-01,4.416410596281178380e-01,4.913973080660142267e-01,3.467609719975724425e-01,3.826465670855696000e-01
2.222092648207983911e-01,3.000736480094642333e-01,4.348540500269133524e-01,4.082439134925364699e-01,3.951440701499047137e-01
4.906322570863174692e-01,6.113861574922110353e-01,3.326236236276167157e-01,3.564796774413035441e-01,3.894343590963907920e-01
3.969070801046413188e-01,4.330859066957676307e-01,4.395137189987546877e-01,3.428285006750496078e-01,3.828628576918882143e-01
1.153383429060846344e-01,3.206467538705923270e-01,5.808794366182660207e-01,3.618814807098044706e-01,3.920825489500370797e-01
9.440547888168032697e-02,3.131100715254265809e-01,3.956410438653573669e-01,3.783169403828512967e-01,3.931525257691396713e-01
1.474409928881465492e-01,3.295413969986707992e-01,3.190293099283881828e-01,4.459442483246418565e-01,3.908958564902333954e-01
3.308775445781533819e-01,4.680533968557707425e-01,3.093158430147030513e-01,4.147346239647157762e-01,3.823707761042020592e-01
4.296606037295417901e-01,4.759974674358103397e-01,4.507307274403209441e-01,3.500200328915319403e-01,3.823994551485882520e-01
2.928341745992498746e-01,4.479555772686620863e-01,5.029100091736350420e-01,3.905881192327172458e-01,3.825274304817355975e-01
2.578733199775981588e-01,3.520156479558766982e-01,5.160352258578239093e-01,3.588598400260679111e-01,3.882597590180579816e-01
3.099243745535291139e-01,4.527763380480023803e-01,4.512344211692801421e-01,4.185118801554073009e-01,3.824592722491899632e-01
4.311270093692436967e-01,5.468151222647099630e-01,5.604269918255441185e-01,3.773709645426518433e-01,3.847018693838920589e-01
1.196546493609045303e-01,3.201714675965728896e-01,6.516208317955075602e-01,3.714721419105361244e-01,3.921482731279632983e-01
3.013969056515888312e-01,3.673606048027907578e-01,4.705506386046072187e-01,3.849074650422458221e-01,3.867530286340086221e-01
2.383023762555102065e-01,3.677000949985189671e-01,3.927190077721471884e-01,4.021412506879994408e-01,3.867223414631060785e-01
8.109901777564204606e-02,3.067276558457366908e-01,3.613268969014559184e-01,3.509084719885299242e-01,3.941051790344838324e-01
1.110279372574197176e-01,3.184061185787863124e-01,3.329621283648880881e-01,3.928365212555345876e-01,3.923944529880413201e-01
2.724411158329388405e-01,4.093894910339402893e-01,3.495333584953549400e-01,4.918998610930651050e-01,3.838012765227594159e-01
