input,state,target,rf_prediction,ridge_prediction
8.161649968100453956e-02,1.665861030491414263e-01,3.813784856894557596e-01,4.298306942103409245e-01,3.960585803581699871e-01
1.204966274125815473e-01,1.779250755864628109e-01,3.150560471503182081e-01,3.649620471851174330e-01,3.966060465030134541e-01
1.692951323844014699e-01,2.150653029991263787e-01,2.980191365615202925e-01,3.950231501356236685e-01,3.987333921950318438e-01
1.890505757411610754e-01,2.026399618354747800e-01,2.976783622457964684e-01,4.004654787192377108e-01,3.979564241396958968e-01
1.816122755440183756e-01,2.342125500381961045e-01,3.043428279424847949e-01,4.309001022985353146e-01,4.000842372878015696e-01
4.630749920820164123e-01,3.105978440770379989e-01,3.231389966349937914e-01,3.924508793850566835e-01,4.078879662089577307e-01
4.887498612325519853e-01,3.224800009275245460e-01,5.971737078810787080e-01,4.322839992153488242e-01,4.095261347244728012e-01
2.471849371658635386e-02,1.498831854193146407e-01,6.676208921695022669e-01,5.086613142807636656e-01,3.953160637878674888e-01
1.846174246893129145e-01,2.125530755507378244e-01,4.571548909708216257e-01,4.910993543097722513e-01,3.985703693225393640e-01
3.887816989854204208e-01,2.725749421554811147e-01,3.944004955537837587e-01,3.678634633342323657e-01,4.034622572337995816e-01
3.642712867509261820e-01,2.080039069279801256e-01,3.455059577648399438e-01,4.498092818798938297e-01,3.982829428763909885e-01
7.272641636444537871e-02,1.638022834441702769e-01,3.385947486491817093e-01,3.511183758120529075e-01,3.959299538887396941e-01
1.551169219485209472e-01,1.843074912661527287e-01,2.881657667267202294e-01,4.262252481591813913e-01,3.969325850703067649e-01
4.510834718845584956e-01,2.987835852656971491e-01,2.882687963613517201e-01,3.760802945439694067e-01,4.063844096927082816e-01
4.009291836554127464e-01,2.514586519811879417e-01,3.670807865187502017e-01,4.093807558868674534e-01,4.014825804591736214e-01
4.132779668029817888e-01,2.832349343013461640e-01,5.632624596084091495e-01,3.853230829012322389e-01,4.045850701141398553e-01
